X,Y,t_id,art,druckzone,symbolori,hoehe,einbaujahr,druckzone_bemerkung,lagebestimmung,lagebestimmung_code,eigentuemer,bemerkung,name_nummer,art_code,dimension,zulaessiger_betriebsdruck,zustand,icon_url
7.61615026488736,46.1566744365732,"134",divers (inconnu),Zinal,100,1638.39,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.61666404889894,46.1569888005122,"135",divers (inconnu),Zinal,100,1626.92,"1900",EP_Z_8,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59214308712987,46.1970300518078,"136",divers (inconnu),Ayer,288.9,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.59185448023905,46.1963767395991,"137",divers (inconnu),Ayer,343.1,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.59191061245259,46.1963513965343,"138",divers (inconnu),Ayer,335.2,0,"1900",EP_Z_1,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61950400176376,46.1566385158062,"139",divers (inconnu),Zinal,386.2,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.61979854298594,46.1563667872148,"140",divers (inconnu),Zinal,100,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.62010766247501,46.1556752803081,"141",divers (inconnu),Zinal,258.5,0,"1900",EP_Z_8,inconnue,"1",inconnue,,,"27",,0,unbekannt/inconnue,./0.png
7.58991259563509,46.1777436546382,"142",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.58970128496865,46.1776970959031,"143",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59000077178413,46.1778241556202,"144",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59002139277433,46.1778119660932,"145",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59028204965367,46.1779734849596,"146",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59036647035496,46.1780162271834,"147",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59048966221674,46.1780588455386,"148",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60494764104952,46.1817422875253,"149",divers (inconnu),Ayer,100,1556.3,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.60530135200598,46.1819737021415,"150",divers (inconnu),Ayer,100,1552.51,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59110503694151,46.2110891688609,"151",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.5929324596262,46.19296005722,"152",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59257755556058,46.1936151215709,"153",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59239953568031,46.1938176467554,"154",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59222212005153,46.1941114132067,"155",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
7.59217726822212,46.1942430075017,"156",divers (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,Point de construction,,"27",,0,unbekannt/inconnue,./0.png
