X,Y,t_id,einbaujahr,name_nummer,art,art_code,nennweite,typ,bemerkung,lagebestimmung,lagebestimmung_code,hoehenbestimmung,hoehenbestimmung_code,druckzone,druckzone_bemerkung,hoehe,symbolori,zustand,icon_url
7.60223696872339,46.1786203387121,"11","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1452.43,360,unbekannt/inconnue,./0.png
7.60217499026383,46.1786808604271,"12","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1452.18,360,unbekannt/inconnue,./0.png
7.6020156903489,46.1788488576591,"13","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1451.48,360,unbekannt/inconnue,./0.png
7.60189304874004,46.1789640697755,"14","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1451.1,360,unbekannt/inconnue,./0.png
7.60180378439979,46.1790464538394,"15","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1450.89,360,unbekannt/inconnue,./0.png
7.60167567350786,46.1791952901162,"16","1900",,vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1450.77,360,unbekannt/inconnue,./0.png
7.59246139536952,46.1898071993361,"17","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1306.39,360,unbekannt/inconnue,./0.png
7.6032568722538,46.1785431301565,"18","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1473.98,360,unbekannt/inconnue,./0.png
7.60327126079652,46.1784832526041,"19","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1472.79,360,unbekannt/inconnue,./0.png
7.60442161811512,46.17663556534,"20","1900",,vanne inconnue,"1","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1442.69,360,unbekannt/inconnue,./0.png
7.60401009916475,46.1770210871582,"21","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1444.88,360,unbekannt/inconnue,./0.png
7.60398380692423,46.1770366338688,"22","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1445.1,360,unbekannt/inconnue,./0.png
7.60384051994982,46.1771263576786,"23","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1446.3,360,unbekannt/inconnue,./0.png
7.60373747576351,46.177201944669,"24","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1447.2,360,unbekannt/inconnue,./0.png
7.60354883127373,46.177370895302,"25","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1448.8,360,unbekannt/inconnue,./0.png
7.60354807448429,46.1773775981187,"26","1900",,vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1448.92,360,unbekannt/inconnue,./0.png
